Tournament,Date,Event,Rd,Aff,Neg,Decision
West Point Debate Tournament,10/26/2018,Open,1,Roches AV,Miami LL,NEG
West Point Debate Tournament,10/26/2018,Novice,2,Roches BF,UniSta KT,NEG
West Point Debate Tournament,10/26/2018,Novice,3,Libert BW,UniSta AH,NEG
Las Vegas Classic Debate Tournament,10/20/2018,Open,1,UC Berkeley RN,Florida JS,AFF
Las Vegas Classic Debate Tournament,10/20/2018,Open,2,UC Berkeley OM,UNLV HS,NEG
Las Vegas Classic Debate Tournament,10/20/2018,Open,3,Florida SS,Cal State Fullerton SW,AFF
Las Vegas Classic Debate Tournament,10/20/2018,JV,4,UT San Antonio FM,UNLV ST,NEG
Las Vegas Classic Debate Tournament,10/20/2018,Open,5,Arizona State BG,UNLV QS,AFF
Las Vegas Classic Debate Tournament,10/20/2018,Nov,6,Cal State Fullerton LA,Fullerton KB,NEG
Las Vegas Classic Debate Tournament,10/20/2018,JV,QF,UNLV ST,UT San Antonio FM,"AFF																				 	UNLV ST on a 								3-0"
Las Vegas Classic Debate Tournament,10/20/2018,JV,F,Arizona State PE,UNLV ST,"NEG																				 	UNLV ST on a 								3-0"
Phyllis Schatz Invitational at Binghamton University,9/21/2018,Novi,N1,Liberty HW,Rutgers-Newark AD,AFF
Phyllis Schatz Invitational at Binghamton University,9/21/2018,JV,2,Rochester AD,Liberty CS,NEG
Phyllis Schatz Invitational at Binghamton University,9/21/2018,Open,O3,Cornel MS,UniSta MS,NEG
Phyllis Schatz Invitational at Binghamton University,9/21/2018,Novi,N4,Liberty RS,United States Military CL,AFF
Phyllis Schatz Invitational at Binghamton University,9/21/2018,Novi,N5,Liberty HK,Rochester NA,AFF
Phyllis Schatz Invitational at Binghamton University,9/21/2018,Novi,N6,United States Military BL,Monmouth MG,NEG
Phyllis Schatz Invitational at Binghamton University,9/21/2018,Novi,QUART,Cornell GS,United States Military AH,"AFF																				 	Cornell GS on a 								3-0"
72nd National Debate Tournament at Wichita State,3/22/2018,Open,Round 1,Missouri - Kansas City JS,Liberty OT,NEG
72nd National Debate Tournament at Wichita State,3/22/2018,Open,Round 2,Liberty HS,Washington BT,AFF
72nd National Debate Tournament at Wichita State,3/22/2018,Open,Round 3,West Georgia CJ,Wayne State HC,AFF
72nd National Debate Tournament at Wichita State,3/22/2018,Open,Round 4,Florida GK,Missouri State SW,NEG
72nd National Debate Tournament at Wichita State,3/22/2018,Open,Round 5,Wake Forest AW,Emporia State SW,AFF
72nd National Debate Tournament at Wichita State,3/22/2018,Open,Round 8,United States Military MS,Pittsburgh FK,NEG
JV Novice Nationals at West Virginia University,3/3/2018,JV,1,James Madison SL,Florida GU,AFF
